Task ID,Task Name,Module,Assigned To,Priority,Status,Start Date,End Date,Estimated Hours,Actual Hours,Progress %,Dependencies,Notes,Week
T001,Review cấu trúc module hiện tại,Foundation,Phong,P0,Not Started,27/11/2025,27/11/2025,4,0,0%,-,-,W1
T002,Thiết kế kiến trúc mở rộng V2.0,Foundation,Phong,P0,Not Started,27/11/2025,28/11/2025,8,0,0%,T001,-,W1
T003,Tạo ModuleCoin structure,Foundation,Phong,P0,Not Started,27/11/2025,28/11/2025,2,0,0%,T001,-,W1
T004,Tạo ModulePartner structure,Foundation,Phong,P0,Not Started,27/11/2025,28/11/2025,2,0,0%,T001,-,W1
T005,Tạo ModuleContent structure,Foundation,Phong,P0,Not Started,27/11/2025,28/11/2025,2,0,0%,T001,-,W1
T006,Tạo ModuleLearning structure,Foundation,Phong,P0,Not Started,27/11/2025,28/11/2025,2,0,0%,T001,-,W1
T007,Document architecture decisions,Foundation,Phong,P0,Not Started,28/11/2025,28/11/2025,2,0,0%,T002,-,W1
T008,Clone repository và setup local,Foundation,Kiên,P0,Not Started,27/11/2025,27/11/2025,1,0,0%,-,-,W1
T009,Review EntityBase pattern,Foundation,Kiên,P0,Not Started,27/11/2025,27/11/2025,2,0,0%,T008,-,W1
T010,Review MyServiceBase pattern,Foundation,Kiên,P0,Not Started,27/11/2025,27/11/2025,2,0,0%,T008,-,W1
T011,Setup PostgreSQL local instance,Foundation,Kiên,P0,Not Started,27/11/2025,27/11/2025,2,0,0%,T008,-,W1
T012,Setup MongoDB local instance,Foundation,Kiên,P0,Not Started,27/11/2025,27/11/2025,2,0,0%,T008,-,W1
T013,Test connection strings,Foundation,Kiên,P0,Not Started,27/11/2025,27/11/2025,1,0,0%,T011;T012,-,W1
T014,Review Blazor structure,Foundation,Cường,P0,Not Started,27/11/2025,27/11/2025,2,0,0%,-,-,W1
T015,Setup UI framework (MudBlazor),Foundation,Cường,P0,Not Started,27/11/2025,28/11/2025,4,0,0%,T014,-,W1
T016,Tạo base layouts Partner Portal,Foundation,Cường,P0,Not Started,28/11/2025,28/11/2025,4,0,0%,T015,-,W1
T017,Setup shared components,Foundation,Cường,P0,Not Started,28/11/2025,28/11/2025,2,0,0%,T015,-,W1
T018,Review PRD document,Foundation,Nguyên,P0,Not Started,27/11/2025,27/11/2025,2,0,0%,-,-,W1
T019,Prioritize features cho DEMO,Foundation,Nguyên,P0,Not Started,27/11/2025,27/11/2025,2,0,0%,T018,-,W1
T020,Prepare user stories chi tiết,Foundation,Nguyên,P0,Not Started,27/11/2025,28/11/2025,4,0,0%,T019,-,W1
T021,Define acceptance criteria,Foundation,Nguyên,P0,Not Started,28/11/2025,28/11/2025,2,0,0%,T020,-,W1
T022,Tạo EntityCoinTransaction.cs,Database,Kiên,P0,Not Started,29/11/2025,29/11/2025,2,0,0%,T011,-,W1
T023,Tạo EntityCoinBalance.cs,Database,Kiên,P0,Not Started,29/11/2025,29/11/2025,2,0,0%,T011,-,W1
T024,Tạo EntityPartnerCenter.cs,Database,Kiên,P0,Not Started,29/11/2025,29/11/2025,2,0,0%,T011,-,W1
T025,Tạo EntityReferralCode.cs,Database,Kiên,P0,Not Started,29/11/2025,29/11/2025,2,0,0%,T011,-,W1
T026,Tạo EntityCommissionTransaction.cs,Database,Kiên,P0,Not Started,29/11/2025,29/11/2025,2,0,0%,T011,-,W1
T027,Tạo EntityCourse.cs,Database,Kiên,P0,Not Started,30/11/2025,30/11/2025,2,0,0%,T011,-,W1
T028,Tạo EntityExam.cs,Database,Kiên,P0,Not Started,30/11/2025,30/11/2025,2,0,0%,T011,-,W1
T029,Tạo EntityEnrollment.cs,Database,Kiên,P0,Not Started,30/11/2025,30/11/2025,2,0,0%,T011,-,W1
T030,Tạo EntityExamSubmission.cs,Database,Kiên,P0,Not Started,30/11/2025,30/11/2025,2,0,0%,T011,-,W1
T031,Tạo EntityUserRole.cs,Database,Kiên,P0,Not Started,01/12/2025,01/12/2025,2,0,0%,T011,-,W1
T032,Update ModelBuilderExt.cs,Database,Kiên,P0,Not Started,01/12/2025,01/12/2025,2,0,0%,T022-T031,-,W1
T033,Configure unique constraints,Database,Kiên,P0,Not Started,01/12/2025,01/12/2025,2,0,0%,T032,-,W1
T034,Review tất cả entities,Database,Phong,P0,Not Started,29/11/2025,01/12/2025,4,0,0%,T022-T031,-,W1
T035,Validate relationships,Database,Phong,P0,Not Started,01/12/2025,01/12/2025,2,0,0%,T034,-,W1
T036,Document database schema,Database,Phong,P0,Not Started,01/12/2025,01/12/2025,2,0,0%,T035,-,W1
T037,Design indexes strategy,Database,Phong,P0,Not Started,01/12/2025,01/12/2025,2,0,0%,T035,-,W1
T038,Tạo DTOs cho API responses,Database,Cường,P0,Not Started,29/11/2025,01/12/2025,4,0,0%,T022-T031,-,W1
T039,Design wireframes Coin management,Database,Cường,P0,Not Started,29/11/2025,01/12/2025,4,0,0%,T015,-,W1
T040,Design wireframes Partner Portal,Database,Cường,P0,Not Started,29/11/2025,01/12/2025,4,0,0%,T015,-,W1
T041,Tạo EF Core migrations,Migrations,Kiên,P0,Not Started,02/12/2025,02/12/2025,4,0,0%,T032,-,W1
T042,Test migrations trên PostgreSQL,Migrations,Kiên,P0,Not Started,02/12/2025,02/12/2025,2,0,0%,T041,-,W1
T043,Tạo SeedData.cs,Migrations,Kiên,P0,Not Started,03/12/2025,03/12/2025,2,0,0%,T042,-,W1
T044,Seed default coin exchange rate,Migrations,Kiên,P0,Not Started,03/12/2025,03/12/2025,1,0,0%,T043,-,W1
T045,Seed bronze tier commission,Migrations,Kiên,P0,Not Started,03/12/2025,03/12/2025,1,0,0%,T043,-,W1
T046,Seed sample courses,Migrations,Kiên,P0,Not Started,03/12/2025,03/12/2025,1,0,0%,T043,-,W1
T047,Seed sample exams,Migrations,Kiên,P0,Not Started,03/12/2025,03/12/2025,1,0,0%,T043,-,W1
T048,Document migration process,Migrations,Kiên,P0,Not Started,03/12/2025,03/12/2025,1,0,0%,T041-T047,-,W1
T049,Tạo EntityUserRole.cs,Authentication,Kiên,P0,Not Started,04/12/2025,04/12/2025,2,0,0%,T048,-,W2
T050,Tạo AuthService.cs Register,Authentication,Kiên,P0,Not Started,04/12/2025,05/12/2025,4,0,0%,T049,-,W2
T051,Tạo AuthService.cs Login,Authentication,Kiên,P0,Not Started,05/12/2025,05/12/2025,3,0,0%,T050,-,W2
T052,Implement HashPassword method,Authentication,Kiên,P0,Not Started,05/12/2025,05/12/2025,1,0,0%,T050,-,W2
T053,Implement VerifyPassword method,Authentication,Kiên,P0,Not Started,05/12/2025,05/12/2025,1,0,0%,T051,-,W2
T054,Implement GenerateJwtToken,Authentication,Kiên,P0,Not Started,05/12/2025,06/12/2025,3,0,0%,T051,-,W2
T055,Tạo RegisterDto.cs,Authentication,Kiên,P0,Not Started,04/12/2025,04/12/2025,1,0,0%,T049,-,W2
T056,Tạo LoginDto.cs,Authentication,Kiên,P0,Not Started,04/12/2025,04/12/2025,1,0,0%,T049,-,W2
T057,Tạo AuthResponseDto.cs,Authentication,Kiên,P0,Not Started,04/12/2025,04/12/2025,1,0,0%,T049,-,W2
T058,Auto-create CoinBalance for Student,Authentication,Kiên,P0,Not Started,06/12/2025,06/12/2025,2,0,0%,T050,-,W2
T059,Update last login timestamp,Authentication,Kiên,P0,Not Started,06/12/2025,06/12/2025,1,0,0%,T051,-,W2
T060,Tạo Login UI component,Authentication,Cường,P0,Not Started,04/12/2025,05/12/2025,4,0,0%,T016,-,W2
T061,Tạo Register UI component,Authentication,Cường,P0,Not Started,05/12/2025,05/12/2025,4,0,0%,T060,-,W2
T062,Implement form validation,Authentication,Cường,P0,Not Started,05/12/2025,06/12/2025,3,0,0%,T060;T061,-,W2
T063,Integrate với AuthService API,Authentication,Cường,P0,Not Started,06/12/2025,06/12/2025,3,0,0%,T051,-,W2
T064,Setup JWT token storage,Authentication,Cường,P0,Not Started,06/12/2025,06/12/2025,2,0,0%,T054,-,W2
T065,Implement authentication guard,Authentication,Cường,P0,Not Started,06/12/2025,06/12/2025,2,0,0%,T064,-,W2
T066,Tạo PartnerService.cs,Partner,Kiên,P0,Not Started,07/12/2025,07/12/2025,2,0,0%,T048,-,W2
T067,Implement RegisterPartner method,Partner,Kiên,P0,Not Started,07/12/2025,07/12/2025,3,0,0%,T066,-,W2
T068,Implement ApprovePartner method,Partner,Kiên,P0,Not Started,07/12/2025,08/12/2025,3,0,0%,T066,-,W2
T069,Implement RejectPartner method,Partner,Kiên,P0,Not Started,08/12/2025,08/12/2025,2,0,0%,T066,-,W2
T070,Implement GenerateDefaultCode,Partner,Kiên,P0,Not Started,08/12/2025,08/12/2025,2,0,0%,T068,-,W2
T071,Tạo PartnerRegistrationDto.cs,Partner,Kiên,P0,Not Started,07/12/2025,07/12/2025,1,0,0%,T066,-,W2
T072,Email notification admin,Partner,Kiên,P1,Not Started,08/12/2025,08/12/2025,2,0,0%,T067,-,W2
T073,Email confirmation partner,Partner,Kiên,P1,Not Started,08/12/2025,08/12/2025,2,0,0%,T067,-,W2
T074,Email approval notification,Partner,Kiên,P1,Not Started,08/12/2025,08/12/2025,2,0,0%,T068,-,W2
T075,Tạo Partner Registration form,Partner,Cường,P0,Not Started,07/12/2025,07/12/2025,4,0,0%,T040,-,W2
T076,Implement file upload logo,Partner,Cường,P0,Not Started,07/12/2025,08/12/2025,3,0,0%,T075,-,W2
T077,Implement file upload license,Partner,Cường,P0,Not Started,07/12/2025,08/12/2025,3,0,0%,T075,-,W2
T078,Tạo Admin approval interface,Partner,Cường,P0,Not Started,08/12/2025,08/12/2025,4,0,0%,T068,-,W2
T079,Partner dashboard layout,Partner,Cường,P0,Not Started,08/12/2025,08/12/2025,4,0,0%,T040,-,W2
T080,Partner profile page,Partner,Cường,P0,Not Started,08/12/2025,08/12/2025,3,0,0%,T079,-,W2
