Task ID,Task Name,Start Date,End Date,Duration (Days),Dependencies,Assigned To,Module,Priority,Status,Progress %,Week
T001,Review cấu trúc module hiện tại,27/11/2025,27/11/2025,1,-,Phong,Foundation,P0,Not Started,0%,W1
T002,Thiết kế kiến trúc mở rộng V2.0,27/11/2025,28/11/2025,2,T001,Phong,Foundation,P0,Not Started,0%,W1
T003,Tạo ModuleCoin structure,27/11/2025,28/11/2025,2,T001,Phong,Foundation,P0,Not Started,0%,W1
T004,Tạo ModulePartner structure,27/11/2025,28/11/2025,2,T001,Phong,Foundation,P0,Not Started,0%,W1
T005,Tạo ModuleContent structure,27/11/2025,28/11/2025,2,T001,Phong,Foundation,P0,Not Started,0%,W1
T006,Tạo ModuleLearning structure,27/11/2025,28/11/2025,2,T001,Phong,Foundation,P0,Not Started,0%,W1
T007,Document architecture decisions,28/11/2025,28/11/2025,1,T002,Phong,Foundation,P0,Not Started,0%,W1
T008,Clone repository và setup local,27/11/2025,27/11/2025,1,-,Kiên,Foundation,P0,Not Started,0%,W1
T009,Review EntityBase pattern,27/11/2025,27/11/2025,1,T008,Kiên,Foundation,P0,Not Started,0%,W1
T010,Review MyServiceBase pattern,27/11/2025,27/11/2025,1,T008,Kiên,Foundation,P0,Not Started,0%,W1
T011,Setup PostgreSQL local instance,27/11/2025,27/11/2025,1,T008,Kiên,Foundation,P0,Not Started,0%,W1
T012,Setup MongoDB local instance,27/11/2025,27/11/2025,1,T008,Kiên,Foundation,P0,Not Started,0%,W1
T013,Test connection strings,27/11/2025,27/11/2025,1,"T011,T012",Kiên,Foundation,P0,Not Started,0%,W1
T014,Review Blazor structure,27/11/2025,27/11/2025,1,-,Cường,Foundation,P0,Not Started,0%,W1
T015,Setup UI framework (MudBlazor),27/11/2025,28/11/2025,2,T014,Cường,Foundation,P0,Not Started,0%,W1
T016,Tạo base layouts Partner Portal,28/11/2025,28/11/2025,1,T015,Cường,Foundation,P0,Not Started,0%,W1
T017,Setup shared components,28/11/2025,28/11/2025,1,T015,Cường,Foundation,P0,Not Started,0%,W1
T018,Review PRD document,27/11/2025,27/11/2025,1,-,Nguyên,Foundation,P0,Not Started,0%,W1
T019,Prioritize features cho DEMO,27/11/2025,27/11/2025,1,T018,Nguyên,Foundation,P0,Not Started,0%,W1
T020,Prepare user stories chi tiết,27/11/2025,28/11/2025,2,T019,Nguyên,Foundation,P0,Not Started,0%,W1
T021,Define acceptance criteria,28/11/2025,28/11/2025,1,T020,Nguyên,Foundation,P0,Not Started,0%,W1
T022,Tạo EntityCoinTransaction.cs,29/11/2025,29/11/2025,1,T011,Kiên,Database,P0,Not Started,0%,W1
T023,Tạo EntityCoinBalance.cs,29/11/2025,29/11/2025,1,T011,Kiên,Database,P0,Not Started,0%,W1
T024,Tạo EntityPartnerCenter.cs,29/11/2025,29/11/2025,1,T011,Kiên,Database,P0,Not Started,0%,W1
T025,Tạo EntityReferralCode.cs,29/11/2025,29/11/2025,1,T011,Kiên,Database,P0,Not Started,0%,W1
T026,Tạo EntityCommissionTransaction.cs,29/11/2025,29/11/2025,1,T011,Kiên,Database,P0,Not Started,0%,W1
T027,Tạo EntityCourse.cs,30/11/2025,30/11/2025,1,T011,Kiên,Database,P0,Not Started,0%,W1
